BioID;TmID;Played;Started;Minutes;Points;Attempts;Made
webstma02;MIN;46;1;1094;453;122;94
weemsso01;TOR;59;28;1413;545;94;72
warriha01;PHO;80;6;1415;669;294;212
watsocj01;CHI;82;1;1091;405;93;69
waltolu01;LAL;54;0;484;91;10;7
wallabe01;DET;54;49;1238;154;57;19
wallage01;CHA;48;48;1872;749;284;210
walkebi01;NYK;61;1;784;298;44;31
wadedw01;MIA;76;76;2824;1941;652;494
wafervo01;BOS;58;2;552;184;38;32
vujacsa01;NJN;56;17;1594;636;94;80
villach01;DET;76;11;1666;840;116;89
varejan01;CLE;31;31;994;282;81;54
udrihbe01;SAC;79;64;2734;1086;228;197
turkohe01;PHO;25;16;630;237;36;26
udokaim01;SAS;20;0;130;14;8;4
tollian01;MIN;65;4;1362;434;131;105
turiaro01;NYK;64;21;1141;267;98;61
thornma01;SAC;27;23;1030;574;118;95
thornal01;WAS;49;23;1069;393;107;81
thompja02;SAC;75;39;1748;663;200;121
thomaku01;CHI;52;37;1178;211;32;20
thomaty01;CHA;41;2;861;419;136;107
thomaet01;ATL;13;0;82;32;15;12
thabeha01;HOU;2;0;4;0;0;0
templga01;SAS;3;0;21;2;2;0
terryja01;DAL;82;10;2564;1293;214;182
telfase01;MIN;37;8;711;266;60;44
teaguje01;ATL;70;7;963;361;97;77
tayloje02;HOU;8;0;77;39;6;5
stuckro01;DET;70;54;2183;1082;381;330
summeda01;DET;22;1;199;74;20;9
stojape01;NOH;6;0;89;45;7;6
stoudam01;NYK;78;78;2870;1971;597;473
stackje01;MIA;7;1;50;12;7;5
stevede01;DAL;72;54;1158;383;43;33
songada01;PHI;10;0;71;16;4;2
speigma01;PHI;64;1;734;344;73;55
smithjo03;ATL;77;77;2645;1274;316;229
smithjr01;DEN;79;6;1968;969;221;163
smithjo02;NJN;4;3;25;2;0;0
smithja02;NOH;77;6;1102;331;70;59
simmobo01;SAS;2;0;16;0;0;0
skinnbr01;MIL;2;0;6;0;0;0
smithcr01;LAC;48;0;586;258;68;50
shakumu01;WAS;22;0;159;51;15;8
sefolth01;OKC;79;79;2049;401;79;59
sessira01;CLE;81;38;2133;1075;423;348
salmojo01;MIL;73;70;2554;1024;240;195
scalabr01;CHI;18;0;88;20;0;0
scolalu01;HOU;74;74;2412;1352;290;214
rossqu01;NJN;36;4;353;57;14;5
roybr01;POR;47;23;1310;573;138;117
rushbr01;IND;67;21;1754;607;106;80
rosede01;CHI;81;81;3026;2026;555;476
rondora01;BOS;68;68;2527;721;132;75
robinna01;BOS;55;11;983;388;40;33
richaja01;PHO;25;25;796;483;72;55
richaqu01;ORL;57;19;955;249;44;33
ridnolu01;MIN;71;66;2159;840;137;121
reddmi01;MIL;10;0;134;44;4;4
redicjj01;ORL;59;5;1513;593;128;112
ratlith01;LAL;10;0;71;2;2;0
randoan01;NYK;17;0;127;35;12;6
randoza01;MEM;75;74;2724;1504;396;300
przybjo01;POR;31;9;445;55;23;13
quinnch01;SAS;41;0;292;81;8;4
radmavl01;GSW;74;6;1169;374;34;30
priceaj01;IND;50;0;795;323;81;54
pricero01;UTA;59;0;717;197;39;29
princta01;DET;78;78;2562;1098;168;118
powele01;CLE;14;3;187;70;26;12
poweljo01;ATL;54;0;653;224;45;36
pietrmi01;PHO;38;4;689;283;51;36
poseyja01;IND;49;0;839;240;15;11
piercpa01;BOS;80;80;2774;1511;449;386
petrojo01;NJN;77;1;893;273;28;15
perkike01;OKC;17;17;429;87;32;17
petermo01;OKC;4;0;23;4;0;0
pavloal01;NOH;4;1;50;4;0;0
paulch01;NOH;80;80;2880;1268;384;337
parkean01;CLE;72;65;2091;600;95;74
parketo01;SAS;78;78;2528;1368;303;233
onealsh01;BOS;37;36;752;341;131;73
outlatr01;NJN;82;55;2358;756;171;132
pachuza01;ATL;79;7;1244;349;179;135
okurme01;UTA;13;0;168;64;20;15
onealje01;BOS;24;10;431;129;43;29
odomla01;LAL;82;35;2639;1180;246;166
okafoem01;NOH;72;72;2287;745;258;145
obertfa01;POR;5;0;45;7;2;1
nocioan01;PHI;54;17;931;327;61;49
novakst01;DAL;7;0;18;11;0;0
nowitdi01;DAL;73;73;2504;1681;443;395
nashst01;PHO;75;75;2497;1106;249;227
nelsoja01;ORL;76;76;2319;997;162;130
noahjo01;CHI;48;48;1576;561;188;139
murphtr01;NJN;18;4;288;65;17;9
najered01;CHA;31;0;372;69;11;6
mulleby01;OKC;13;0;85;25;14;7
moonja01;LAC;19;7;278;66;6;5
morroan01;NJN;58;47;1856;764;107;96
mohamna01;CHA;51;30;851;370;88;52
millspa02;POR;64;0;783;353;47;36
mingya01;HOU;5;5;91;51;16;15
millemi01;MIA;41;2;838;228;34;23
millspa01;UTA;76;76;2605;1315;338;256
millebr01;HOU;60;5;1015;382;94;78
milescj01;UTA;78;19;1969;1000;196;159
milicda01;MIN;69;69;1686;606;115;64
millean02;POR;81;81;2650;1029;292;249
meeksjo01;PHI;74;64;2062;774;170;152
mensapo01;NOH;7;0;35;2;0;0
mcrobjo01;IND;72;51;1597;533;119;88
mcgeeja01;WAS;79;75;2193;798;230;134
mcgratr01;DET;72;39;1686;574;129;90
mcguido01;CHA;52;8;760;174;39;30
mcdyean01;SAS;73;16;1386;390;77;52
mayooj01;MEM;71;17;1869;803;131;99
mbahlu01;MIL;79;52;2093;529;188;133
mbengdj01;NOH;41;0;330;59;18;13
maynoer01;OKC;82;0;1200;348;59;43
matthwe02;POR;82;69;2758;1300;315;266
maxieja01;DET;57;14;930;237;99;51
martike02;HOU;80;80;2603;1876;669;594
martica01;WAS;52;1;542;209;40;28
martike01;DEN;48;48;1233;414;72;42
marksse01;POR;29;0;208;45;8;5
mahinia01;DAL;56;0;488;173;82;63
mariosh01;DAL;80;27;2253;999;164;126
magloja01;MIA;18;0;158;35;18;9
lucasjo02;CHI;2;0;10;2;2;0
maggeco01;MIL;67;18;1401;805;325;271
lucasjo01;CHI;2;0;10;2;2;0
lowryky01;HOU;75;71;2563;1011;251;192
loveke01;MIN;73;73;2611;1476;499;424
lopezbr01;NJN;82;82;2889;1673;489;385
lopezro01;PHO;67;56;991;432;100;74
lewisra02;WAS;32;27;1014;364;51;43
livinsh01;CHA;73;0;1261;479;125;108
leeco01;HOU;81;1;1723;672;120;95
leeda02;GSW;73;73;2634;1203;267;210
lawsoty01;DEN;80;31;2103;933;225;172
landrca01;SAC;53;16;1406;631;215;155
lawac01;GSW;40;0;632;203;54;41
krstine01;BOS;24;20;553;218;80;60
koufoko01;MIN;39;1;336;106;24;12
korveky01;CHI;82;0;1649;681;87;77
kiddja01;DAL;80;80;2653;630;77;67
kirilan01;UTA;64;62;1999;750;270;208
kleizli01;TOR;39;23;1032;436;65;41
kamanch01;LAC;32;15;838;397;57;43
kaponja01;PHI;24;2;111;16;2;1
jonesja02;MIA;81;8;1549;475;72;60
jonesso01;IND;39;0;528;139;62;41
jordade01;LAC;80;66;2047;566;217;98
jonesda02;IND;45;2;589;283;90;69
johnstr01;LAL;1;0;13;6;2;2
johnsja01;TOR;25;25;699;229;58;41
johnsjo02;ATL;72;72;2554;1312;243;195
